time,concentration_storage1,concentration_storage2,concentration_storage3,connector_1.HQUp.Q,connector_1.flux_q1_s1,connector_1_M_Up,connector_2.HQUp.Q,connector_2.flux_q1_s1,connector_2_M_Up,storage1.MForcing[2],storage1.MForcing[4],storage1.V,storage1_mforcing_ZSF,storage1_qforcing_ZSF,storage1_qforcing_advective,storage2.MForcing[2],storage2.V,storage2_H,storage3.MForcing[2],storage3.MForcing[4],storage3.V,storage3_H,storage3_mforcing_ZSF,storage3_qforcing_ZSF,storage3_qforcing_advective
2013-01-01 00:11:00,1.000000,1.000000,1.000000,0.000000,181.983599,0.000000,0.000000,181.983599,0.000000,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:12:00,1.000000,1.000000,1.000000,0.000000,181.983599,0.000000,0.000000,181.983599,0.000000,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:13:00,1.000000,1.000000,1.000000,0.000000,181.983599,0.000000,0.000000,181.983599,0.000000,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:14:00,1.000000,1.000000,1.000000,0.000000,181.983599,0.000000,0.000000,181.983599,0.000000,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:15:00,0.998752,0.999998,1.001249,125.000000,214.408898,124.788298,125.000000,214.601558,124.943760,0.000000,0.000000,6000000.000000,3342.211169,125.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,-125.156180,6000000.000000,10.000000,0.000000,0.000000,-125.000000
2013-01-01 00:16:00,0.997507,0.999995,1.002498,125.000000,267.873357,124.510618,125.000000,268.462197,124.819927,0.000000,0.000000,6000000.000000,3342.211169,125.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,-125.312205,6000000.000000,10.000000,0.000000,0.000000,-125.000000
2013-01-01 00:17:00,0.996265,0.999991,1.003744,125.000000,317.639934,124.174321,125.000000,318.692122,124.635355,0.000000,0.000000,6000000.000000,3342.211169,125.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,-125.467999,6000000.000000,10.000000,0.000000,0.000000,-125.000000
2013-01-01 00:18:00,0.995027,0.999985,1.004988,125.000000,362.036394,123.790892,125.000000,363.604081,124.401168,0.000000,0.000000,6000000.000000,3342.211169,125.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,-125.623500,6000000.000000,10.000000,0.000000,0.000000,-125.000000
2013-01-01 00:19:00,0.995036,0.999985,1.004979,0.000000,361.734483,-0.895013,0.000000,363.290884,-0.907168,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:20:00,0.995045,0.999985,1.004970,0.000000,361.433117,-0.892676,0.000000,362.978324,-0.904724,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:21:00,0.995054,0.999985,1.004961,0.000000,361.132295,-0.890347,0.000000,362.666399,-0.902289,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:22:00,0.995063,0.999985,1.004952,0.000000,360.832018,-0.888026,0.000000,362.355105,-0.899862,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
