time,Q_in,Q_turbine
2022-06-16 20:00:00,1.628785,
2022-06-16 21:00:00,3.0519896,
2022-06-16 22:00:00,3.0519896,
2022-06-16 23:00:00,2.3154685,
2022-06-17 00:00:00,2.220607,
2022-06-17 01:00:00,3.4591858,
2022-06-17 02:00:00,2.630918,
2022-06-17 03:00:00,1.2028996,
2022-06-17 04:00:00,1.6505889,
2022-06-17 05:00:00,2.097995,
2022-06-17 06:00:00,1.7148682,
2022-06-17 07:00:00,1.3314581,
2022-06-17 08:00:00,1.3291928,
2022-06-17 09:00:00,1.3291928,
2022-06-17 10:00:00,2.34152,
2022-06-17 11:00:00,2.3367062,
2022-06-17 12:00:00,2.3318923,
2022-06-17 13:00:00,2.326795,
2022-06-17 14:00:00,2.3219814,
2022-06-17 15:00:00,2.3168843,
2022-06-17 16:00:00,2.3117874,
2022-06-17 17:00:00,2.3069735,
2022-06-17 18:00:00,2.3018763,
2022-06-17 19:00:00,2.3021595,
2022-06-17 20:00:00,2.3027258,
2022-06-17 21:00:00,2.303009,
2022-06-17 22:00:00,2.3032923,
2022-06-17 23:00:00,2.3038585,
2022-06-18 00:00:00,2.3041418,
2022-06-18 01:00:00,2.3007438,
2022-06-18 02:00:00,2.2973456,
2022-06-18 03:00:00,2.2939477,
2022-06-18 04:00:00,2.2902665,
2022-06-18 05:00:00,2.2868683,
2022-06-18 06:00:00,2.2834704,
2022-06-18 07:00:00,2.274409,
2022-06-18 08:00:00,2.2650645,
2022-06-18 09:00:00,2.2560031,
2022-06-18 10:00:00,2.2466586,
2022-06-18 11:00:00,2.2375972,
2022-06-18 12:00:00,2.2282526,
2022-06-18 13:00:00,2.223722,
2022-06-18 14:00:00,2.218908,
2022-06-18 15:00:00,2.2143774,
2022-06-18 16:00:00,2.2098467,
2022-06-18 17:00:00,2.2050328,
2022-06-18 18:00:00,2.2005022,
2022-06-18 19:00:00,2.1965377,
2022-06-18 20:00:00,2.19229,
2022-06-18 21:00:00,2.188326,
2022-06-18 22:00:00,2.1840782,
2022-06-18 23:00:00,2.1798308,
2022-06-19 00:00:00,2.1758664,
2022-06-19 01:00:00,2.171902,
2022-06-19 02:00:00,2.1679378,
2022-06-19 03:00:00,2.1639733,
2022-06-19 04:00:00,2.159726,
2022-06-19 05:00:00,2.1557615,
2022-06-19 06:00:00,2.151797,
2022-06-19 07:00:00,2.1478326,
2022-06-19 08:00:00,2.1438684,
2022-06-19 09:00:00,2.139904,
2022-06-19 10:00:00,2.1359396,
2022-06-19 11:00:00,2.1319754,
2022-06-19 12:00:00,2.128011,
2022-06-19 13:00:00,2.1240466,
2022-06-19 14:00:00,2.1200821,
2022-06-19 15:00:00,2.116401,
2022-06-19 16:00:00,2.1124368,
2022-06-19 17:00:00,2.1084723,
2022-06-19 18:00:00,2.104508,
2022-06-19 19:00:00,2.1005435,
2022-06-19 20:00:00,2.0968623,
2022-06-19 21:00:00,2.0928981,
2022-06-19 22:00:00,2.089217,
2022-06-19 23:00:00,2.0855358,
2022-06-20 00:00:00,2.0815713,
2022-06-20 01:00:00,2.0778902,
2022-06-20 02:00:00,2.074209,
2022-06-20 03:00:00,2.0705278,
2022-06-20 04:00:00,2.0665634,
2022-06-20 05:00:00,2.0628822,
2022-06-20 06:00:00,2.059201,
2022-06-20 07:00:00,2.0555198,
2022-06-20 08:00:00,2.0518386,
2022-06-20 09:00:00,2.0481575,
2022-06-20 10:00:00,2.044193,
2022-06-20 11:00:00,2.0405118,
2022-06-20 12:00:00,2.0368307,
2022-06-20 13:00:00,2.0331495,
2022-06-20 14:00:00,2.0294683,
2022-06-20 15:00:00,2.025787,
2022-06-20 16:00:00,2.022106,
2022-06-20 17:00:00,2.0184247,
2022-06-20 18:00:00,2.0147436,
2022-06-20 19:00:00,2.0110624,
2022-06-20 20:00:00,2.0076644,
2022-06-20 21:00:00,2.0039833,
2022-06-20 22:00:00,2.000302,
2022-06-20 23:00:00,1.9969039,
2022-06-21 00:00:00,1.9932227,
2022-06-21 01:00:00,1.9895415,
2022-06-21 02:00:00,1.9861436,
2022-06-21 03:00:00,1.9827455,
2022-06-21 04:00:00,1.9790643,
2022-06-21 05:00:00,1.9756663,
2022-06-21 06:00:00,1.9719851,
2022-06-21 07:00:00,1.9685872,
2022-06-21 08:00:00,1.9649059,
2022-06-21 09:00:00,1.9615079,
2022-06-21 10:00:00,1.9581099,
2022-06-21 11:00:00,1.9544287,
2022-06-21 12:00:00,1.9510306,
2022-06-21 13:00:00,1.9476327,
2022-06-21 14:00:00,1.9442346,
2022-06-21 15:00:00,1.9408365,
2022-06-21 16:00:00,1.9371554,
2022-06-21 17:00:00,1.9337574,
2022-06-21 18:00:00,1.9303594,
2022-06-21 19:00:00,1.9269613,
2022-06-21 20:00:00,1.9235634,
2022-06-21 21:00:00,1.9201653,
2022-06-21 22:00:00,1.9167672,
2022-06-21 23:00:00,1.9133693,
2022-06-22 00:00:00,1.9099712,
2022-06-22 01:00:00,1.9065732,
2022-06-22 02:00:00,1.9034584,
2022-06-22 03:00:00,1.9000603,
2022-06-22 04:00:00,1.8966624,
2022-06-22 05:00:00,1.8935474,
2022-06-22 06:00:00,1.8901495,
2022-06-22 07:00:00,1.8867514,
2022-06-22 08:00:00,1.8836366,
2022-06-22 09:00:00,1.8802385,
2022-06-22 10:00:00,1.8768405,
2022-06-22 11:00:00,1.8737257,
2022-06-22 12:00:00,1.8703276,
2022-06-22 13:00:00,1.8672128,
2022-06-22 14:00:00,1.8638148,
2022-06-22 15:00:00,1.8606999,
2022-06-22 16:00:00,1.857302,
2022-06-22 17:00:00,1.8539039,
2022-06-22 18:00:00,1.8507891,
2022-06-22 19:00:00,1.8476741,
2022-06-22 20:00:00,1.8445593,
2022-06-22 21:00:00,1.8414445,
2022-06-22 22:00:00,1.8380464,
2022-06-22 23:00:00,1.8349316,
2022-06-23 00:00:00,1.8318168,
2022-06-23 01:00:00,1.8287019,
2022-06-23 02:00:00,1.825587,
2022-06-23 03:00:00,1.8224722,
2022-06-23 04:00:00,1.8190742,
2022-06-23 05:00:00,1.8159593,
2022-06-23 06:00:00,1.8128444,
2022-06-23 07:00:00,1.8097296,
2022-06-23 08:00:00,1.8066148,
2022-06-23 09:00:00,1.803783,
2022-06-23 10:00:00,1.8006682,
2022-06-23 11:00:00,1.7975533,
2022-06-23 12:00:00,1.7944385,
2022-06-23 13:00:00,1.7913237,
2022-06-23 14:00:00,1.7882088,
2022-06-23 15:00:00,1.7853771,
2022-06-23 16:00:00,1.7822622,
2022-06-23 17:00:00,1.7791474,
2022-06-23 18:00:00,1.7760326,
2022-06-23 19:00:00,1.7732009,
2022-06-23 20:00:00,1.770086,
2022-06-23 21:00:00,1.7672544,
2022-06-23 22:00:00,1.7641395,
2022-06-23 23:00:00,1.7610246,
2022-06-24 00:00:00,1.7581929,
2022-06-24 01:00:00,1.7553612,
2022-06-24 02:00:00,1.7522464,
2022-06-24 03:00:00,1.7491316,
2022-06-24 04:00:00,1.7462999,
2022-06-24 05:00:00,1.7434682,
2022-06-24 06:00:00,1.7403533,
2022-06-24 07:00:00,1.7375216,
2022-06-24 08:00:00,1.7344068,
2022-06-24 09:00:00,1.7315751,
2022-06-24 10:00:00,1.7287434,
2022-06-24 11:00:00,1.7256286,
2022-06-24 12:00:00,1.7227969,
2022-06-24 13:00:00,1.7199652,
2022-06-24 14:00:00,1.7171335,
2022-06-24 15:00:00,1.7143018,
2022-06-24 16:00:00,1.7114701,
